city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
hilo,us,"hilo, us",Hilo,US,19.71,-155.08,75.72,78,90,12.75,79,2019-03-31
busselton,au,"busselton, au",Busselton,AU,-33.64,115.35,74.97,46,80,12.01,77,2019-03-31
illoqqortoormiut,gl,"illoqqortoormiut, gl",,,,,,,,,,2019-03-31
kayalpattinam,in,"kayalpattinam, in",Kayalpattinam,IN,8.57,78.12,78.8,74,20,6.76,78.8,2019-03-31
opuwo,na,"opuwo, na",Opuwo,NA,-18.06,13.84,62.63,87,12,2.28,62.63,2019-03-31
ushuaia,ar,"ushuaia, ar",Ushuaia,AR,-54.81,-68.31,51.8,76,75,9.17,51.8,2019-03-31
waipawa,nz,"waipawa, nz",Waipawa,NZ,-39.94,176.59,70,80,100,16.04,70,2019-03-31
cowra,au,"cowra, au",Cowra,AU,-33.84,148.69,61,58,0,8.99,61,2019-03-31
tasiilaq,gl,"tasiilaq, gl",Tasiilaq,GL,65.61,-37.64,21.2,67,80,10.29,21.2,2019-03-31
mahajanga,mg,"mahajanga, mg",Mahajanga,MG,-15.72,46.32,78.8,94,20,6.31,78.8,2019-03-31
