city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
eyl,so,"eyl, so",Eyl,SO,7.98,49.82,74.91,100,12,5.17,74.91,2019-04-07
pevek,ru,"pevek, ru",Pevek,RU,69.7,170.27,5.52,99,12,5.06,5.52,2019-04-07
nicoya,cr,"nicoya, cr",Nicoya,CR,10.15,-85.45,93.2,46,20,8.05,93.2,2019-04-07
daru,pg,"daru, pg",Daru,PG,-9.07,143.21,83.1,100,44,4.72,83.1,2019-04-07
rio gallegos,ar,"rio gallegos, ar",Rio Gallegos,AR,-51.62,-69.22,50,61,40,4.7,50,2019-04-07
longyearbyen,sj,"longyearbyen, sj",Longyearbyen,SJ,78.22,15.64,5,92,20,8.05,5,2019-04-07
kahului,us,"kahului, us",Kahului,US,20.89,-156.47,78.76,51,20,10.29,82.4,2019-04-07
ilulissat,gl,"ilulissat, gl",Ilulissat,GL,69.22,-51.1,39.2,48,44,16.11,39.2,2019-04-07
noumea,nc,"noumea, nc",Noumea,NC,-22.28,166.46,75.2,69,0,5.82,75.2,2019-04-07
busselton,au,"busselton, au",Busselton,AU,-33.64,115.35,48.72,64,0,12.33,51.01,2019-04-07
khatanga,ru,"khatanga, ru",Khatanga,RU,71.98,102.47,3.72,62,8,3.71,3.72,2019-04-07
talnakh,ru,"talnakh, ru",Talnakh,RU,69.49,88.39,15.42,93,76,10.98,15.42,2019-04-07
mataura,pf,"mataura, pf",,,,,,,,,,2019-04-07
tha bo,th,"tha bo, th",Tha Bo,TH,17.85,102.58,73.65,89,0,6.29,73.65,2019-04-07
guerrero negro,mx,"guerrero negro, mx",Guerrero Negro,MX,27.97,-114.04,76.71,44,0,15.01,76.71,2019-04-07
kaeo,nz,"kaeo, nz",Kaeo,NZ,-35.1,173.78,64.99,69,68,8.99,64.99,2019-04-07
progreso,mx,"progreso, mx",Progreso,MX,20.25,-99.19,73.47,28,56,3.15,73.47,2019-04-07
bluff,nz,"bluff, nz",Bluff,NZ,-46.6,168.33,54,81,0,6.96,54,2019-04-07
cairns,au,"cairns, au",Cairns,AU,-16.92,145.77,72.01,83,75,10.29,73.99,2019-04-07
port augusta,au,"port augusta, au",Port Augusta,AU,-32.49,137.76,57.63,87,0,8.05,61,2019-04-07
punta arenas,cl,"punta arenas, cl",Punta Arenas,CL,-53.16,-70.91,46.18,61,75,10.29,46.4,2019-04-07
cape town,za,"cape town, za",Cape Town,ZA,-33.93,18.42,61.57,93,0,4.7,64.99,2019-04-07
tsihombe,mg,"tsihombe, mg",,,,,,,,,,2019-04-07
veraval,in,"veraval, in",Veraval,IN,20.9,70.37,75.54,89,0,7.63,75.54,2019-04-07
vaini,to,"vaini, to",Vaini,TO,-21.2,-175.2,81.39,97,80,10.98,81.39,2019-04-07
kununurra,au,"kununurra, au",Kununurra,AU,-15.77,128.74,80.6,78,40,5.82,80.6,2019-04-07
swidwin,pl,"swidwin, pl",Swidwin,PL,53.77,15.78,45.73,46,0,4.7,50,2019-04-07
hithadhoo,mv,"hithadhoo, mv",Hithadhoo,MV,-0.6,73.08,84.72,100,88,4.72,84.72,2019-04-07
burica,pa,"burica, pa",,,,,,,,,,2019-04-07
victoria,sc,"victoria, sc",Victoria,SC,-4.62,55.45,78.8,94,75,4.7,78.8,2019-04-07
avera,pf,"avera, pf",,,,,,,,,,2019-04-07
sarakhs,ir,"sarakhs, ir",Sarakhs,IR,36.54,61.16,59,93,88,2.24,59,2019-04-07
torbay,ca,"torbay, ca",Torbay,CA,47.66,-52.73,31.73,74,75,8.05,34,2019-04-07
castro,cl,"castro, cl",Castro,CL,-42.48,-73.76,66.2,72,40,8.05,66.2,2019-04-07
mys shmidta,ru,"mys shmidta, ru",,,,,,,,,,2019-04-07
redmond,us,"redmond, us",Redmond,US,47.67,-122.12,51.82,62,90,6.93,54,2019-04-07
nizhneyansk,ru,"nizhneyansk, ru",,,,,,,,,,2019-04-07
sao felix do xingu,br,"sao felix do xingu, br",Sao Felix do Xingu,BR,-6.64,-51.99,75.09,97,100,1.59,75.09,2019-04-07
tahe,cn,"tahe, cn",Tahe,CN,52.34,124.71,32.7,63,44,6.4,32.7,2019-04-07
sao joao da barra,br,"sao joao da barra, br",Sao Joao da Barra,BR,-21.64,-41.05,82.4,74,0,16.11,82.4,2019-04-07
narsaq,gl,"narsaq, gl",Narsaq,GL,60.91,-46.05,32,85,92,2.37,32,2019-04-07
pitimbu,br,"pitimbu, br",Pitimbu,BR,-7.47,-34.81,80.6,83,40,6.93,80.6,2019-04-07
kamenskoye,ru,"kamenskoye, ru",,,,,,,,,,2019-04-07
bredasdorp,za,"bredasdorp, za",Bredasdorp,ZA,-34.53,20.04,61.34,93,0,3.36,63,2019-04-07
port alfred,za,"port alfred, za",Port Alfred,ZA,-33.59,26.89,64.99,90,8,3,64.99,2019-04-07
shirokiy,ru,"shirokiy, ru",Shirokiy,RU,53.87,39.17,33.01,72,56,6.85,33.01,2019-04-07
rikitea,pf,"rikitea, pf",Rikitea,PF,-23.12,-134.97,77.25,100,0,5.5,77.25,2019-04-07
illoqqortoormiut,gl,"illoqqortoormiut, gl",,,,,,,,,,2019-04-07
atuona,pf,"atuona, pf",Atuona,PF,-9.8,-139.03,82.74,99,76,13.67,82.74,2019-04-07
tasiilaq,gl,"tasiilaq, gl",Tasiilaq,GL,65.61,-37.64,32,92,92,25.28,32,2019-04-07
puerto ayora,ec,"puerto ayora, ec",Puerto Ayora,EC,-0.74,-90.35,84.11,66,20,13.87,86,2019-04-07
severodvinsk,ru,"severodvinsk, ru",Severodvinsk,RU,64.56,39.82,33.8,69,40,2.24,33.8,2019-04-07
chuy,uy,"chuy, uy",Chuy,UY,-33.69,-53.46,60.87,90,0,5.73,60.87,2019-04-07
ushuaia,ar,"ushuaia, ar",Ushuaia,AR,-54.81,-68.31,41,91,75,14.99,41,2019-04-07
luderitz,na,"luderitz, na",Luderitz,NA,-26.65,15.16,57.72,92,0,12.33,57.72,2019-04-07
