city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
talnakh,ru,"talnakh, ru",Talnakh,RU,69.49,88.39,29.27,97,88,13.8,29.27,2019-03-31
saint anthony,ca,"saint anthony, ca",,,,,,,,,,2019-03-31
tiksi,ru,"tiksi, ru",Tiksi,RU,71.64,128.87,29.45,78,8,8.21,29.45,2019-03-31
busselton,au,"busselton, au",Busselton,AU,-33.64,115.35,78.3,41,48,12.35,81,2019-03-31
yellowknife,ca,"yellowknife, ca",Yellowknife,CA,62.45,-114.38,32.92,86,90,13.87,33.8,2019-03-31
portland,au,"portland, au",Portland,AU,-33.35,149.98,64.99,56,68,10,64.99,2019-03-31
terrace,ca,"terrace, ca",Terrace,CA,54.52,-128.61,59,28,20,6.93,59,2019-03-31
fort saint james,ca,"fort saint james, ca",Fort Saint James,CA,54.43,-124.25,38.81,68,44,3.51,38.81,2019-03-31
nizhneyansk,ru,"nizhneyansk, ru",,,,,,,,,,2019-03-31
kahuta,pk,"kahuta, pk",Kahuta,PK,33.59,73.39,64.99,56,0,4.29,64.99,2019-03-31
