city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
talnakh,ru,"talnakh, ru",Talnakh,RU,69.49,88.39,29.27,97,88,13.8,29.27,2019-03-31
saint anthony,ca,"saint anthony, ca",,,,,,,,,,2019-03-31
tiksi,ru,"tiksi, ru",Tiksi,RU,71.64,128.87,29.45,78,8,8.21,29.45,2019-03-31
busselton,au,"busselton, au",Busselton,AU,-33.64,115.35,78.3,41,48,12.35,81,2019-03-31
yellowknife,ca,"yellowknife, ca",Yellowknife,CA,62.45,-114.38,32.92,86,90,13.87,33.8,2019-03-31
portland,au,"portland, au",Portland,AU,-33.35,149.98,64.99,56,68,10,64.99,2019-03-31
terrace,ca,"terrace, ca",Terrace,CA,54.52,-128.61,59,28,20,6.93,59,2019-03-31
fort saint james,ca,"fort saint james, ca",Fort Saint James,CA,54.43,-124.25,38.81,68,44,3.51,38.81,2019-03-31
nizhneyansk,ru,"nizhneyansk, ru",,,,,,,,,,2019-03-31
kahuta,pk,"kahuta, pk",Kahuta,PK,33.59,73.39,64.99,56,0,4.29,64.99,2019-03-31
saleaula,ws,"saleaula, ws",,,,,,,,,,2019-03-31
la tuque,ca,"la tuque, ca",La Tuque,CA,47.44,-72.79,23.96,70,80,9.66,23.96,2019-03-31
sola,vu,"sola, vu",Sola,VU,-13.88,167.55,80.84,100,56,3.18,80.84,2019-03-31
chapais,ca,"chapais, ca",Chapais,CA,49.78,-74.86,15.8,56,90,12.75,15.8,2019-03-31
leopold,au,"leopold, au",Leopold,AU,-38.18,144.47,60.39,51,0,8.05,63,2019-03-31
hithadhoo,mv,"hithadhoo, mv",Hithadhoo,MV,-0.6,73.08,83.18,100,0,5.53,83.18,2019-03-31
ust-nera,ru,"ust-nera, ru",Ust-Nera,RU,64.57,143.24,15.86,74,0,2.39,15.86,2019-03-31
rikitea,pf,"rikitea, pf",Rikitea,PF,-23.12,-134.97,76.79,100,36,16.82,76.79,2019-03-31
ushuaia,ar,"ushuaia, ar",Ushuaia,AR,-54.81,-68.31,50,76,90,9.17,50,2019-03-31
punta arenas,cl,"punta arenas, cl",Punta Arenas,CL,-53.16,-70.91,51.39,81,75,9.17,51.8,2019-03-31
acarau,br,"acarau, br",,,,,,,,,,2019-03-31
zigong,cn,"zigong, cn",Zigong,CN,29.34,104.78,59.06,99,92,3.29,59.06,2019-03-31
barrow,us,"barrow, us",Barrow,US,39.51,-90.4,36.01,69,1,3.51,39.2,2019-03-31
sitka,us,"sitka, us",Sitka,US,37.17,-99.65,42.01,37,0,5.01,42.01,2019-03-31
bandarbeyla,so,"bandarbeyla, so",Bandarbeyla,SO,9.49,50.81,77.78,100,76,2.62,77.78,2019-03-31
touros,br,"touros, br",Touros,BR,-5.2,-35.46,77,100,40,3.36,77,2019-03-31
vaini,to,"vaini, to",Vaini,TO,-21.2,-175.2,84.2,79,40,11.41,84.2,2019-03-31
hit,iq,"hit, iq",Hit,IQ,33.64,42.83,50.96,96,88,10.11,50.96,2019-03-31
barentsburg,sj,"barentsburg, sj",,,,,,,,,,2019-03-31
hobart,au,"hobart, au",Hobart,AU,-42.88,147.33,59.81,44,75,11.41,61,2019-03-31
guerrero negro,mx,"guerrero negro, mx",Guerrero Negro,MX,27.97,-114.04,71.66,29,48,10.56,71.66,2019-03-31
kodiak,us,"kodiak, us",Kodiak,US,39.95,-94.76,39.42,37,1,5.82,42.8,2019-03-31
kapaa,us,"kapaa, us",Kapaa,US,22.08,-159.32,79.3,54,1,16.11,82.4,2019-03-31
hermanus,za,"hermanus, za",Hermanus,ZA,-34.42,19.24,57.99,72,44,6.42,57.99,2019-03-31
mayumba,ga,"mayumba, ga",Mayumba,GA,-3.44,10.65,81.29,97,100,5.64,81.29,2019-03-31
coihaique,cl,"coihaique, cl",Coihaique,CL,-45.58,-72.07,55.4,58,0,28.86,55.4,2019-03-31
nikolskoye,ru,"nikolskoye, ru",Nikolskoye,RU,59.7,30.79,30.58,84,0,8.95,32,2019-03-31
nikki,bj,"nikki, bj",Nikki,BJ,9.94,3.21,81.38,51,48,8.1,81.38,2019-03-31
